 Data for JOB [27605,1] offset 0 Total slots allocated 64

 ========================   JOB MAP   ========================

 Data for node: cmts8	Num slots: 64	Max slots: 0	Num procs: 1
 	Process OMPI jobid: [27605,1] App: 0 Process rank: 0 Bound: socket 0[core 0[hwt 0-1]]:[BB/../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../..]

 =============================================================
# Size time(us) gamma(per byte)
4 0.028000 0.0000000070000000 0
8 0.032000 0.0000000040000000 3000
16 0.030000 0.0000000018750000 18000
32 0.033000 0.0000000010312500 84000
64 0.052000 0.0000000008125000 360000
128 0.091000 0.0000000007109375 1488000
256 0.168000 0.0000000006562500 6048000
512 0.330000 0.0000000006445313 24403952
1024 0.622000 0.0000000006074219 98026032
2048 1.222000 0.0000000005966797 392692992
4096 2.426000 0.0000000005922852 1571834368
8192 4.827000 0.0000000005892334 6289406976
16384 9.652000 0.0000000005891113 25161793536
32768 19.301000 0.0000000005890198 100655226880
65536 38.524000 0.0000000005878296 388408049664
131072 77.049000 0.0000000005878372 1493192933376
262144 158.918000 0.0000000006062241 4398046511104
524288 408.225000 0.0000000007786274 8796093022208
1048576 832.039000 0.0000000007934942 17592186044416
2097152 1608.560000 0.0000000007670212 35184372088832
4194304 3230.275000 0.0000000007701576 70368744177664
8388608 6466.998000 0.0000000007709262 140737488355328
16777216 12972.781000 0.0000000007732380 281474976710656
33554432 26680.851000 0.0000000007951513 562949953421312
67108864 52157.480000 0.0000000007772070 1125899906842624
134217728 102750.319000 0.0000000007655495 2251799813685248
268435456 201847.033000 0.0000000007519388 4503599627370496
536870912 401211.144000 0.0000000007473140 9007199254740992
1073741824 808028.794000 0.0000000007525355 18014398509481984
